"id","login","password_text","full_name","role_id"
"1","94d5ous@gmail.com","uzWC67","Никифорова Весения Николаевна","4"
"2","uth4iz@mail.com","2L6KZG","Сазонов Руслан Германович","4"
"3","yzls62@outlook.com","JlFRCZ","Одинцов Серафим Артёмович","4"
"4","1diph5e@tutanota.com","8ntwUp","Степанов Михаил Артёмович","3"
"5","tjde7c@yahoo.com","YOyhfR","Ворсин Петр Евгеньевич","3"
"6","wpmrc3do@tutanota.com","RSbvHv","Старикова Елена Павловна","3"
"7","5d4zbu@tutanota.com","rwVDh9","Михайлюк Анна Вячеславовна","2"
"8","ptec8ym@yahoo.com","LdNyos","Ситдикова Елена Анатольевна","2"
"9","1qz4kw@mail.com","gynQMT","Ворсин Петр Евгеньевич","2"
"10","4np6se@mail.com","AtnDjr","Старикова Елена Павловна","2"
